text,sentiment,timestamp,user,text_length,word_count
Bitcoin ETF approval coming soon. This is huge!,positive,2024-01-24 08:00:00,privacy_advocate,47,8
Bitcoin fear and greed index: 29.71,neutral,2024-01-24 09:20:00,bitcoin_teacher,35,6
Grateful for Satoshi Nakamoto every single day,positive,2024-01-24 10:10:00,store_of_value,46,7
Coinbase premium: 29% currently,neutral,2024-01-24 10:47:00,yield_farmer,31,4
Stacking sats feels amazing. Future is bright,positive,2024-01-24 11:06:00,kyc_hater,45,7
MicroStrategy bought more Bitcoin! Saylor knows,positive,2024-01-24 12:02:00,payment_network,47,6
Orange pilling friends and family successfully,positive,2024-01-24 12:45:00,settlement_layer,46,6
Finally convinced my family to buy Bitcoin,positive,2024-01-24 13:14:00,scalper_pro,42,7
Average confirmation time: 9 minutes,neutral,2024-01-24 14:03:00,exchange_dev,36,5
El Salvador Bitcoin experiment is working great,positive,2024-01-24 14:52:00,sound_money,47,7
Bitcoin adoption is growing. Major companies accepting it now,positive,2024-01-24 15:49:00,sats_stacker,61,9
This is still early for Bitcoin adoption,positive,2024-01-24 16:21:00,silver_to_btc,40,7
Daily Bitcoin transactions averaging 27920k,neutral,2024-01-24 16:58:00,nft_collector,43,5
Bitcoin solves the money problem once and for all,positive,2024-01-24 17:00:00,arbitrage_king,49,9
Bitcoin failing as peer to peer currency,negative,2024-01-24 17:24:00,sats_stacker,40,7
Stack sats every day! Bitcoin only,positive,2024-01-24 18:01:00,hard_money,34,6
Total value locked in Bitcoin DeFi protocols,neutral,2024-01-24 18:52:00,payment_network,44,7
Inflation hedge narrative failed for Bitcoin,negative,2024-01-24 19:33:00,crypto_bull,44,6
Bitcoin mining pool distribution chart updated,neutral,2024-01-24 20:02:00,trader_joe,46,6
Financial freedom through Bitcoin. Nothing better,positive,2024-01-24 20:28:00,lightning_wallet,49,6
Bitcoin hashrate: 475 EH/s currently,neutral,2024-01-24 21:41:00,dao_member,36,5
Bitcoin fear and greed index: 34.79,neutral,2024-01-24 22:34:00,inflation_hedge,35,6
Bitcoin becoming less decentralized over time,negative,2024-01-24 23:19:00,hard_money,45,6
Every paycheck goes into Bitcoin. No regrets,positive,2024-01-24 23:46:00,pseudonymous_dev,44,7
Bitcoin creating generational wealth for hodlers,positive,2024-01-24 23:58:00,difficulty_watcher,48,6
Bitcoin represents hope for unbanked millions,positive,2024-01-25 00:15:00,full_node_operator,45,6
Active Bitcoin addresses: 42371 million,neutral,2024-01-25 00:34:00,keynesian_critic,39,5
Bitcoin correlation with stocks increasing,negative,2024-01-25 01:08:00,bitcoin_standard,42,5
Current block height is 818480,neutral,2024-01-25 01:24:00,pseudonymous_dev,30,5
Quantum threat to Bitcoin is real,negative,2024-01-25 02:17:00,wallet_dev,33,6
Bitcoin beach in El Salvador is amazing,positive,2024-01-25 03:11:00,mining_pool,39,7
Bitcoin circular economy growing in El Salvador,positive,2024-01-25 03:43:00,spot_trader,47,7
Bitcoin empowers individuals worldwide,positive,2024-01-25 04:05:00,lightning_fan,38,4
Bought the dip again! DCA strategy works,positive,2024-01-25 04:39:00,security_first,40,7
Market manipulation obvious in Bitcoin trading,negative,2024-01-25 04:50:00,gen_z_crypto,46,6
Bitcoin rainbow chart suggests accumulation phase,neutral,2024-01-25 06:07:00,pseudonymous_dev,49,6
Bitcoin taproot upgrade activated 10 years ago,neutral,2024-01-25 06:32:00,bitcoin_knots,46,7
Best decision ever was buying Bitcoin in 2015,positive,2024-01-25 07:06:00,self_custody,45,8
Bitcoin solving real world problems daily,positive,2024-01-25 07:48:00,fiat_escapist,41,6
Realized profit loss ratio: 1.17,neutral,2024-01-25 08:37:00,position_trader,32,5
I lost so much money on BTC. This is terrible,negative,2024-01-25 09:34:00,retail_investor,45,10
Institutions are buying Bitcoin like crazy! Bullish,positive,2024-01-25 10:26:00,retail_investor,51,7
Bitcoin halving excitement is building up,positive,2024-01-25 11:26:00,on_chain_guy,41,6
Bitcoin transaction fees are 7.1 dollars today,neutral,2024-01-25 12:03:00,deflation_lover,46,7
