text,sentiment
current block height,neutral
active bitcoin address million,neutral
bitcoin trading volume today,neutral
bitcoin hashrate ehs currently,neutral
bitcoin changing life around world,positive
mempool size mb currently,neutral
bitcoin price consolidating around k,neutral
satoshi nakamoto mined first bitcoin block,neutral
bitcoin mining difficulty increased,neutral
lightning network channel active,neutral
bitcoin difficulty adjustment day,neutral
transaction speed make bitcoin unusable,negative
bitcoin fear greed index,neutral
bitcoin velocity indicator,neutral
average bitcoin fee per transaction dollar,neutral
bitcoin core version released yesterday,neutral
hodl wave showing held year,neutral
average bitcoin transaction size byte,neutral
bitcoin mining difficulty trillion,neutral
bitcoin blockchain size reached gb,neutral
bitcoin difficulty adjustment day,neutral
bitcoin node count increased,neutral
bitcoin taproot upgrade activated year ago,neutral
bitcoin core version released yesterday,neutral
lightning network capacity btc,neutral
bitcoin blockchain size reached gb,neutral
bitcoin whitepaper anniversary today year,neutral
average bitcoin transaction size byte,neutral
mempool size mb currently,neutral
bitcoin trading volume today,neutral
bitcoin puell multiple reading,neutral
bitcoin velocity indicator,neutral
bitcoin velocity indicator,neutral
realized profit loss ratio,neutral
bitcoin puell multiple reading,neutral
bitcoin realized cap billion,neutral
bitcoin exchange reserve btc,neutral
bitcoin utxo set size reached million,neutral
unconfirmed transaction mempool,neutral
bitcoin mining difficulty increased,neutral
bitcoin market cap billion dollar,neutral
bitcoin whitepaper anniversary today year,neutral
bitcoin inflation rate annually,neutral
hodl wave showing held year,neutral
bitcoin core version released yesterday,neutral
bitcoin scam everywhere cant trust anyone,negative
bitcoin inflation rate annually,neutral
bitcoin node count increased,neutral
bitcoin node distributed across country,neutral
bitcoin onchain metric showing accumulation,neutral
daily bitcoin transaction averaging k,neutral
lightning network channel active,neutral
mempool size mb currently,neutral
bitcoin taproot upgrade activated year ago,neutral
bitcoin mining difficulty increased,neutral
mempool size mb currently,neutral
bitcoin segwit adoption rate percent,neutral
bitcoin velocity indicator,neutral
realized profit loss ratio,neutral
bitcoin node count increased,neutral
bitcoin mining difficulty increased,neutral
bitcoin velocity indicator,neutral
bitcoin core version released yesterday,neutral
bitcoin average block size mb today,neutral
coin moved onchain btc,neutral
bitcoin mining difficulty increased,neutral
network fee collected btc today,neutral
bitcoin represents hope unbanked million,positive
bitcoin failing store value test,negative
network difficulty retarget hour,neutral
network difficulty retarget hour,neutral
bitcoin node count increased,neutral
average bitcoin transaction size byte,neutral
lightning network capacity btc,neutral
unconfirmed transaction mempool,neutral
bitcoin velocity indicator,neutral
lightning network channel active,neutral
nvt ratio currently,neutral
average confirmation time minute,neutral
average confirmation time minute,neutral
bitcoin halving countdown day remaining,neutral
bitcoin exchange reserve btc,neutral
bitcoin market cap billion dollar,neutral
bitcoin k yesterday,neutral
unconfirmed transaction mempool,neutral
daily bitcoin transaction averaging k,neutral
current bitcoin mempool k transaction,neutral
realized profit loss ratio,neutral
lightning network channel active,neutral
bitcoin market cap billion dollar,neutral
bitcoin k yesterday,neutral
lightning network channel active,neutral
bitcoin market cap billion dollar,neutral
bitcoin transaction fee dollar today,neutral
bitcoin whitepaper anniversary today year,neutral
bitcoin core version released yesterday,neutral
bitcoin solves money problem,positive
bitcoin gave hope future,positive
average bitcoin fee per transaction dollar,neutral
nvt ratio currently,neutral
bitcoin k yesterday,neutral
bitcoin average block size mb today,neutral
bought bitcoin feeling bullish,positive
current bitcoin mempool k transaction,neutral
bitcoin difficulty adjustment day,neutral
lightning network channel active,neutral
bitcoin market cap billion dollar,neutral
miner revenue today million,neutral
bitcoin node distributed across country,neutral
lightning network capacity btc,neutral
lightning network capacity btc,neutral
bitcoin velocity indicator,neutral
bitcoin node distributed across country,neutral
hodl wave showing held year,neutral
nvt ratio currently,neutral
bitcoin hashrate ehs currently,neutral
nvt ratio currently,neutral
bull run epic bitcoin k,positive
bitcoin market cap billion dollar,neutral
bitcoin market cap billion dollar,neutral
unconfirmed transaction mempool,neutral
optimistic bitcoin scaling solution,positive
realized profit loss ratio,neutral
bitcoin node count increased,neutral
bitcoin dominance currently,neutral
bitcoin trading volume today,neutral
bitcoin difficulty adjustment day,neutral
lightning network channel active,neutral
bitcoin dominance currently,neutral
bitcoin difficulty adjustment day,neutral
bitcoin halving countdown day remaining,neutral
bitcoin mining centralization worrying trend,negative
bitcoin dominance currently,neutral
government ban bitcoin eventually,negative
bitcoin halving countdown day remaining,neutral
bitcoin halving countdown day remaining,neutral
bitcoin privacy improving coinjoin adoption,positive
bitcoin stock flow ratio,neutral
bitcoin realized cap billion,neutral
mempool size mb currently,neutral
mempool size mb currently,neutral
bitcoin segwit adoption rate percent,neutral
sold bitcoin moving stock,negative
bitcoin utxo set size reached million,neutral
bitcoin node count increased,neutral
bitcoin mining difficulty increased,neutral
average bitcoin transaction size byte,neutral
bitcoin blockchain size reached gb,neutral
best decision ever buying bitcoin,positive
mining reward declining make bitcoin vulnerable,negative
bitcoin adoption growing major company accepting,positive
bitcoin price consolidating around k,neutral
bitcoin market cap billion dollar,neutral
daily bitcoin transaction averaging k,neutral
average bitcoin fee per transaction dollar,neutral
average bitcoin transaction size byte,neutral
bull run epic bitcoin k,positive
bitcoin price consolidating around k,neutral
bitcoin freedom money period,positive
mempool size mb currently,neutral
bitcoin creating generational wealth hodlers,positive
bitcoin accepted merchant worldwide,positive
bitcoin hashrate ehs currently,neutral
hodl wave showing held year,neutral
bitcoin utxo set size reached million,neutral
mempool size mb currently,neutral
living bitcoin year amazing,positive
unconfirmed transaction mempool,neutral
bitcoin puell multiple reading,neutral
active bitcoin address million,neutral
average bitcoin transaction size byte,neutral
bitcoin network congestion frustrating user,negative
daily bitcoin transaction averaging k,neutral
bitcoin price consolidating around k,neutral
realized profit loss ratio,neutral
bitcoin mining pool distribution chart updated,neutral
bitcoin exchange reserve btc,neutral
bitcoin accepted merchant worldwide,positive
bitcoin market cap billion dollar,neutral
coinbase premium currently,neutral
hodl wave showing held year,neutral
bitcoin dominance currently,neutral
bitcoin puell multiple reading,neutral
network difficulty retarget hour,neutral
bitcoin becoming less decentralized time,negative
coinbase premium currently,neutral
bitcoin exchange reserve btc,neutral
bitcoin hashrate ehs currently,neutral
coin moved onchain btc,neutral
unconfirmed transaction mempool,neutral
bitcoin average block size mb today,neutral
living bitcoin year amazing,positive
bitcoin velocity indicator,neutral
lightning network channel active,neutral
bitcoin k yesterday,neutral
bitcoin price consolidating around k,neutral
current bitcoin mempool k transaction,neutral
current block height,neutral
current block height,neutral
bitcoin exchange reserve btc,neutral
inflation hedge narrative failed bitcoin,negative
average bitcoin transaction size byte,neutral
bitcoin mining difficulty trillion,neutral
network fee collected btc today,neutral
network fee collected btc today,neutral
current bitcoin mempool k transaction,neutral
bitcoin hash ribbon indicator neutral,neutral
bitcoin stock flow ratio,neutral
bitcoin velocity indicator,neutral
bitcoin velocity indicator,neutral
bitcoin stock flow ratio,neutral
best decision ever buying bitcoin,positive
nvt ratio currently,neutral
regulation destroy bitcoin mark word,negative
bitcoin halving countdown day remaining,neutral
bitcoin fear greed index,neutral
bitcoin blockchain size reached gb,neutral
bitcoin taproot upgrade activated year ago,neutral
orange coin good hodl forever,positive
bitcoin accepted merchant worldwide,positive
mempool size mb currently,neutral
daily bitcoin transaction averaging k,neutral
bitcoin hashrate ehs currently,neutral
average bitcoin transaction size byte,neutral
current block height,neutral
average bitcoin fee per transaction dollar,neutral
average confirmation time minute,neutral
bitcoin price stable today nothing much happening,neutral
bitcoin utxo set size reached million,neutral
coin moved onchain btc,neutral
bitcoin mining pool much power,negative
bitcoin hashrate ehs currently,neutral
bull run epic bitcoin k,positive
network fee collected btc today,neutral
current block height,neutral
bitcoin empowers individual worldwide,positive
coin moved onchain btc,neutral
bitcoin realized cap billion,neutral
realized profit loss ratio,neutral
lightning network capacity btc,neutral
bitcoin trading volume today,neutral
bitcoin difficulty adjustment day,neutral
coin moved onchain btc,neutral
bitcoin realized cap billion,neutral
miner revenue today million,neutral
network difficulty retarget hour,neutral
network fee collected btc today,neutral
average bitcoin transaction size byte,neutral
bitcoin exchange reserve btc,neutral
bitcoin failing peer peer currency,negative
bitcoin price consolidating around k,neutral
coinbase premium currently,neutral
bitcoin core version released yesterday,neutral
realized profit loss ratio,neutral
realized profit loss ratio,neutral
lightning network channel active,neutral
bitcoin trading volume today,neutral
bitcoin difficulty adjustment day,neutral
bitcoin transaction fee dollar today,neutral
btc dominance falling altcoin season coming,negative
bitcoin price consolidating around k,neutral
bitcoin trading volume today,neutral
bitcoin average block size mb today,neutral
bitcoin accepted merchant worldwide,positive
bitcoin segwit adoption rate percent,neutral
bitcoin adoption plateau reached already,negative
bitcoin standard coming get ready,positive
bitcoin core version released yesterday,neutral
current block height,neutral
total bitcoin address balance million,neutral
bitcoin price consolidating around k,neutral
bitcoin k yesterday,neutral
realized profit loss ratio,neutral
total bitcoin address balance million,neutral
bitcoin utxo set size reached million,neutral
unconfirmed transaction mempool,neutral
bitcoin halving countdown day remaining,neutral
average bitcoin fee per transaction dollar,neutral
bitcoin halving countdown day remaining,neutral
coin moved onchain btc,neutral
average bitcoin fee per transaction dollar,neutral
total bitcoin address balance million,neutral
miner revenue today million,neutral
lost much money btc terrible,negative
bitcoin accepted merchant worldwide,positive
active bitcoin address million,neutral
daily bitcoin transaction averaging k,neutral
bitcoin node count increased,neutral
bitcoin utxo set size reached million,neutral
bitcoin stock flow ratio,neutral
bull run epic bitcoin k,positive
bitcoin dominance currently,neutral
bitcoin utxo set size reached million,neutral
active bitcoin address million,neutral
current bitcoin mempool k transaction,neutral
bitcoin whitepaper anniversary today year,neutral
coinbase premium currently,neutral
bitcoin accepted merchant worldwide,positive
bitcoin halving countdown day remaining,neutral
grateful satoshi nakamoto every single day,positive
bitcoin puell multiple reading,neutral
bitcoin mining difficulty trillion,neutral
bitcoin halving countdown day remaining,neutral
bitcoin puell multiple reading,neutral
nvt ratio currently,neutral
nvt ratio currently,neutral
bitcoin education spreading globally bullish future,positive
bitcoin market cap billion dollar,neutral
hodl wave showing held year,neutral
bitcoin realized cap billion,neutral
lightning network channel active,neutral
bitcoin complexity keep mass away,negative
bitcoin hashrate ehs currently,neutral
bitcoin inflation rate annually,neutral
bitcoin realized cap billion,neutral
bitcoin accepted merchant worldwide,positive
bitcoin accepted merchant worldwide,positive
nvt ratio currently,neutral
average bitcoin transaction size byte,neutral
current block height,neutral
bitcoin node count increased,neutral
bitcoin market cap billion dollar,neutral
million bitcoin supply cap hardcoded,neutral
miner revenue today million,neutral
hodl wave showing held year,neutral
bitcoin mining difficulty trillion,neutral
watching bitcoin price discovery exciting,positive
bitcoin puell multiple reading,neutral
unconfirmed transaction mempool,neutral
miner revenue today million,neutral
bitcoin velocity indicator,neutral
bitcoin taproot upgrade activated year ago,neutral
current bitcoin mempool k transaction,neutral
current block height,neutral
bitcoin market cap billion dollar,neutral
bitcoin transaction fee dollar today,neutral
bitcoin accepted merchant worldwide,positive
bitcoin accepted merchant worldwide,positive
bitcoin transaction fee dollar today,neutral
bitcoin correlation stock increasing,negative
bitcoin puell multiple reading,neutral
total bitcoin address balance million,neutral
active bitcoin address million,neutral
bitcoin average block size mb today,neutral
bitcoin puell multiple reading,neutral
realized profit loss ratio,neutral
bitcoin dominance currently,neutral
active bitcoin address million,neutral
unconfirmed transaction mempool,neutral
bitcoin price consolidating around k,neutral
bitcoin realized cap billion,neutral
active bitcoin address million,neutral
daily bitcoin transaction averaging k,neutral
daily bitcoin transaction averaging k,neutral
current bitcoin mempool k transaction,neutral
bitcoin exit broken system,positive
bitcoin stock flow ratio,neutral
proof work make bitcoin secure network,positive
lightning network capacity btc,neutral
network difficulty retarget hour,neutral
bitcoin fear greed index,neutral
bitcoin halving countdown day remaining,neutral
current block height,neutral
realized profit loss ratio,neutral
bull run epic bitcoin k,positive
bitcoin node count increased,neutral
active bitcoin address million,neutral
lightning network channel active,neutral
bitcoin segwit adoption rate percent,neutral
bitcoin segwit adoption rate percent,neutral
bitcoin puell multiple reading,neutral
bitcoin dominance currently,neutral
hodl wave showing held year,neutral
mempool size mb currently,neutral
network difficulty retarget hour,neutral
bitcoin node distributed across country,neutral
unconfirmed transaction mempool,neutral
bitcoin node count increased,neutral
daily bitcoin transaction averaging k,neutral
network difficulty retarget hour,neutral
mempool size mb currently,neutral
bitcoin hashrate ehs currently,neutral
bitcoin price consolidating around k,neutral
bitcoin realized cap billion,neutral
market manipulation obvious bitcoin trading,negative
nvt ratio currently,neutral
bitcoin utxo set size reached million,neutral
average bitcoin transaction size byte,neutral
