text,sentiment,timestamp,user
Bitcoin ETF approval coming soon. This is huge!,positive,2024-01-24 08:00:00,privacy_advocate
Bitcoin ETF approval coming soon. This is huge!,positive,2024-01-24 08:51:00,deflation_lover
Bitcoin fear and greed index: 29.71,neutral,2024-01-24 09:20:00,bitcoin_teacher
Grateful for Satoshi Nakamoto every single day,positive,2024-01-24 10:10:00,store_of_value
Coinbase premium: 29% currently,neutral,2024-01-24 10:47:00,yield_farmer
Stacking sats feels amazing. Future is bright,positive,2024-01-24 11:06:00,kyc_hater
MicroStrategy bought more Bitcoin! Saylor knows,positive,2024-01-24 12:02:00,payment_network
Orange pilling friends and family successfully,positive,2024-01-24 12:45:00,settlement_layer
Finally convinced my family to buy Bitcoin,positive,2024-01-24 13:14:00,scalper_pro
Stacking sats feels amazing. Future is bright,positive,2024-01-24 13:37:00,mining_dev
Average confirmation time: 9 minutes,neutral,2024-01-24 14:03:00,exchange_dev
El Salvador Bitcoin experiment is working great,positive,2024-01-24 14:52:00,sound_money
Bitcoin adoption is growing. Major companies accepting it now,positive,2024-01-24 15:49:00,sats_stacker
This is still early for Bitcoin adoption,positive,2024-01-24 16:21:00,silver_to_btc
Average confirmation time: 9 minutes,neutral,2024-01-24 16:52:00,defi_explorer
Daily Bitcoin transactions averaging 27920k,neutral,2024-01-24 16:58:00,nft_collector
Bitcoin solves the money problem once and for all,positive,2024-01-24 17:00:00,arbitrage_king
Bitcoin failing as peer to peer currency,negative,2024-01-24 17:24:00,sats_stacker
Stack sats every day! Bitcoin only,positive,2024-01-24 18:01:00,hard_money
Total value locked in Bitcoin DeFi protocols,neutral,2024-01-24 18:52:00,payment_network
Inflation hedge narrative failed for Bitcoin,negative,2024-01-24 19:33:00,crypto_bull
Bitcoin mining pool distribution chart updated,neutral,2024-01-24 20:02:00,trader_joe
Financial freedom through Bitcoin. Nothing better,positive,2024-01-24 20:28:00,lightning_wallet
Inflation hedge narrative failed for Bitcoin,negative,2024-01-24 20:50:00,technical_trader
